,Unnamed: 0,name,domain,logo_url,homepage_url
0,0,'Ascension Orthopedics',ascensionortho.com',,'http://www.ascensionortho.com'
1,1,'GE Healthcare','gehealthcare.com',http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0010/7238/107238v1-max-250x250.png','http://www.gehealthcare.com'
2,2,'Epixis','epixis.com',http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/4435/154435v1-max-250x250.png','http://www.epixis.com'
3,3,'Sonosite','sonosite.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0006/9027/69027v1-max-250x250.jpg','http://www.sonosite.com'
4,4,'Allegro Technologies',,,
5,5,'Atrium Medical','atriummed.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/6644/156644v3-max-250x250.jpg','http://www.atriummed.com'
6,6,'Symyx','symyx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0513/50513v1-max-250x250.png','http://www.symyx.com'
7,7,'MDS Analytical Technologies','moleculardevices.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0006/2911/62911v2-max-250x250.png','http://www.moleculardevices.com'
8,8,'Avantra Biosciences','avantrabio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/7422/157422v1-max-250x250.jpg','http://www.avantrabio.com'
9,9,'Azelon Pharmaceuticals','azelon.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/7735/157735v1-max-250x250.png','http://www.azelon.com'
10,10,'EKR Therapeutics','ekrtx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/8226/158226v1-max-250x250.png','http://www.ekrtx.com'
11,11,'Adolor',adolor.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/9436/159436v1-max-250x250.png','http://www.adolor.com'
12,12,'DuoCort Pharma','duocort.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0015/9863/159863v1-max-250x250.png','http://www.duocort.com'
13,13,'Rempex Pharmaceuticals','rempexpharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0016/1699/161699v1-max-250x250.png','http://www.rempexpharma.com'
14,14,'Oceana Therapeutics','oceanathera.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0016/1884/161884v1-max-250x250.jpg','http://www.oceanathera.com'
15,15,'Cardiokine','cardiokine.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0016/8879/168879v1-max-250x250.png','http://www.cardiokine.com'
16,16,'Syndexa Pharmaceuticals','syndexa.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0016/9050/169050v1-max-250x250.png','http://www.syndexa.com'
17,17,'Medicinal Genomics','medicinalgenomics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0017/0811/170811v1-max-250x250.png','http://www.medicinalgenomics.com'
18,18,'Navilyst Medical','navilystmedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0017/2438/172438v1-max-250x250.jpg','http://www.navilystmedical.com'
19,19,'peerVue','peervue.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0017/3548/173548v1-max-250x250.png','http://peervue.com'
20,20,'Ceptaris Therapeutics','ceptaris.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0017/5338/175338v1-max-250x250.png','http://www.ceptaris.com'
21,21,'DMS Health Technologies','dmshealthtechnologies.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0017/7028/177028v1-max-250x250.jpg','http://www.dmshealthtechnologies.com'
22,22,'Aponia Laboratories','aponialaboratories.com',,'http://aponialaboratories.com'
23,23,'Xcellerex','xcellerex.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0017/7525/177525v1-max-250x250.jpg','http://xcellerex.com'
24,24,'Epitomics','epitomics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0024/6875/246875v1-max-250x250.png','http://epitomics.com'
25,25,'Concordia Medical','concordiamedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0012/6430/126430v1-max-250x250.png','http://www.concordiamedical.com'
26,26,'Oridion','oridion.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0018/3067/183067v1-max-250x250.jpg','http://www.oridion.com'
27,27,'Hemerus Medical','hemerus.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0018/7352/187352v1-max-250x250.png','http://www.hemerus.com'
28,28,'Triax Pharmaceuticals','triaxpharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0018/7495/187495v1-max-250x250.jpg','http://www.triaxpharma.com'
29,29,'Envoy Therapeutics','envoytherapeutics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0018/8537/188537v1-max-250x250.jpg','http://www.envoytherapeutics.com'
30,30,'Maya Medical','maya-medical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0018/8777/188777v1-max-250x250.jpg','http://maya-medical.com'
31,31,'Symphony Vida','symphonyvida.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0006/3118/63118v1-max-250x250.jpg','http://symphonyvida.com'
32,32,'Polaris BioPharma Consulting','polarisbpc.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0019/6541/196541v1-max-250x250.jpg','http://www.polarisbpc.com'
33,33,'Mercury Pharma Group','mercurypharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0020/6711/206711v1-max-250x250.png','http://www.mercurypharma.com'
34,34,'Accugenix','accugenix.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0020/8823/208823v1-max-250x250.png','http://www.accugenix.com'
35,35,'Eclipse Therapeutics','eclipsetherapeutics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0021/1769/211769v1-max-250x250.png','http://www.eclipsetherapeutics.com'
36,36,'BioFire Diagnostics','biofiredx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0021/1974/211974v1-max-250x250.jpg','http://www.biofiredx.com'
37,37,'CNS Therapeutics','cnstherapeutics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0021/2926/212926v1-max-250x250.jpg','http://cnstherapeutics.com'
38,38,'Sirigen','sirigen.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0011/0191/110191v1-max-250x250.png','http://www.sirigen.com'
39,39,'AbD Serotec','abdserotec.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0021/6141/216141v2-max-250x250.jpg','http://www.abdserotec.com'
40,40,'SPSmedical','spsmedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0021/8567/218567v1-max-250x250.jpg','http://www.spsmedical.com'
41,41,'CellGate','cellgate.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0011/0286/110286v1-max-250x250.jpg','http://www.cellgate.com'
42,42,'DUSA Pharmaceuticals','dusapharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0021/9536/219536v1-max-250x250.jpg','http://www.dusapharma.com'
43,43,'Zacharon Pharmaceuticals','zacharon.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0022/8810/228810v1-max-250x250.jpg','http://www.zacharon.com'
44,44,'Cytochroma','cytochroma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0022/9040/229040v1-max-250x250.jpg','http://www.cytochroma.com'
45,45,'Uteron Pharma','odyssea-pharma.be','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0023/1415/231415v1-max-250x250.jpg','http://www.odyssea-pharma.be'
46,46,'Eyevensys','eyevensys.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0024/6830/246830v1-max-250x250.png','http://www.eyevensys.com'
47,47,'Velcera','velcera.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0024/9050/249050v1-max-250x250.jpg','http://velcera.com'
48,48,'BioVex','biovex.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9487/49487v2-max-250x250.jpg','http://www.biovex.com'
49,49,'Santarus','santarus.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0035/4974/354974v1-max-250x250.png','http://santarus.com'
50,50,'Heartscape','primeecg.uk.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1374/41374v1-max-250x250.png','http://www.primeecg.uk.com'
51,51,'PROLOR Biotech','prolor-biotech.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0025/5161/255161v1-max-250x250.jpg','http://www.prolor-biotech.com'
52,52,'Claros Diagnostics','clarosdx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0003/8953/38953v1-max-250x250.png','http://www.clarosdx.com'
53,53,'Ardian','ardian.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0007/6902/76902v2-max-250x250.png','http://www.ardian.com'
54,54,'Biophytis','biophytis.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0025/9144/259144v1-max-250x250.jpg','http://www.biophytis.com'
55,55,'AndersonBrecon','andersonbrecon.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0026/2380/262380v1-max-250x250.jpg','http://andersonbrecon.com'
56,56,'Medical Metrx Solutions','medicalmetrix.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0026/2791/262791v1-max-250x250.png','http://medicalmetrix.com'
57,57,'Trius Therapeutics','triusrx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/9182/299182v1-max-250x250.png','http://triusrx.com'
58,58,'Aerovance','aerovance.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/0827/40827v1-max-250x250.png','http://www.aerovance.com'
59,59,'Actagene Oncology',,,
60,60,'American HealthTech','healthtech.net','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0026/5239/265239v1-max-250x250.png','http://healthtech.net'
61,61,'Xellia Pharmaceuticals','xellia.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0026/5292/265292v1-max-250x250.png','http://xellia.com'
62,62,'KeyNeurotek Pharmaceuticals','keyneurotek.de','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1039/41039v1-max-250x250.png','http://www.keyneurotek.de'
63,63,'Traversa Therapeutics','traversathera.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0614/50614v1-max-250x250.jpg','http://www.traversathera.com'
64,64,'Pathway Medical Technologies','pathwaymedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1072/41072v1-max-250x250.png','http://www.pathwaymedical.com'
65,65,'LensX Lasers','lensxlasers.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1073/41073v1-max-250x250.png','http://www.lensxlasers.com'
66,66,'iZumi Bio','izumibio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1142/41142v1-max-250x250.png','http://www.izumibio.com'
67,67,'Crux Biomedical','cruxbiomedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/1896/41896v2-max-250x250.jpg','http://www.cruxbiomedical.com'
68,68,'Spirogen','spirogen.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0034/2336/342336v1-max-250x250.png','http://spirogen.com'
69,69,'BiPar Sciences','biparsciences.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/2189/42189v1-max-250x250.png','http://www.biparsciences.com'
70,70,'Neurelis',,,
71,71,'Eon Surgical','eon-surgical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/2705/272705v1-max-250x250.png','http://eon-surgical.com'
72,72,'Royal Health Care','royalhc.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/4190/274190v1-max-250x250.png','http://royalhc.com'
73,73,'Genesis Biopharma','genesis-biopharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/5180/275180v1-max-250x250.png','http://www.genesis-biopharma.com'
74,74,'Synosia Therapeutics','synosia.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/3264/43264v1-max-250x250.png','http://www.synosia.com'
75,75,'Fera Pharmaceuticals','ferapharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/6512/276512v1-max-250x250.jpg','http://ferapharma.com'
76,76,'Elan Corporation','elan.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/7884/297884v1-max-250x250.jpg','http://elan.com'
77,77,'Bionostics','bionostics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0027/7087/277087v1-max-250x250.png','http://bionostics.com'
78,78,'MARIPOSA BIOTECHNOLOGY','mariposabiotech.com',,'http://mariposabiotech.com'
79,79,'Starion Instruments','starioninstruments.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/3884/43884v1-max-250x250.jpg','http://www.starioninstruments.com'
80,80,'Puget Energy','pugetenergy.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/4166/44166v2-max-250x250.png','http://www.pugetenergy.com'
81,81,'GeoDigm','dentalemodels.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/4176/44176v1-max-250x250.jpg','http://www.dentalemodels.com'
82,82,'CORPAK MedSystems','corpakmedsystems.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/4180/44180v1-max-250x250.png','http://www.corpakmedsystems.com'
83,83,'Aldexa Therapeutics','neuronsystemsinc.com',,'http://www.neuronsystemsinc.com'
84,84,'Waterstone Pharmaceuticals','waterstonepharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/3020/283020v1-max-250x250.png','http://waterstonepharma.com'
85,85,'ENTrigue Surgical','entriguesurgical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/3431/283431v1-max-250x250.png','http://entriguesurgical.com'
86,86,'Thallion Pharmaceuticals','thallion.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4005/284005v1-max-250x250.png','http://thallion.com'
87,87,'CML HealthCare','cmlhealthcare.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4036/284036v1-max-250x250.png','http://cmlhealthcare.com'
88,88,'TrovaGene','trovagene.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4791/284791v1-max-250x250.png','http://trovagene.com'
89,89,'Bioconnect Systems','bioconnectsystems.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/4870/284870v1-max-250x250.jpg','http://bioconnectsystems.com'
90,90,'Therosteon','therosteon.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/5484/45484v1-max-250x250.jpg','http://www.therosteon.com'
91,91,'DermaGen','dermagen.se','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/5490/45490v1-max-250x250.jpg','http://www.dermagen.se'
92,92,'Pipeline Biomedical Holdings','pipelinebiomed.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0028/6756/286756v1-max-250x250.png','http://www.pipelinebiomed.com'
93,93,'MakuCell','makucellinc.com',,'http://www.makucellinc.com'
94,94,'TALON THERAPEUTICS','talontx.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/0934/290934v1-max-250x250.png','http://talontx.com'
95,95,'Medafor','medafor.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/2578/292578v1-max-250x250.png','http://medafor.com'
96,96,'Rosetta Biosoftware','rosettabio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/6359/46359v1-max-250x250.png','http://www.rosettabio.com'
97,97,'Inimex Pharmaceuticals','inimexpharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/6632/46632v1-max-250x250.jpg','http://www.inimexpharma.com'
98,98,'Aldagen','aldagen.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/6868/46868v1-max-250x250.png','http://www.aldagen.com'
99,99,'GenVault','genvault.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/6879/46879v1-max-250x250.png','http://www.genvault.com'
100,100,'Opalia Pharma','opaliapharma.com.tn','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0029/6631/296631v1-max-250x250.png','http://www.opaliapharma.com.tn'
101,101,'Actimis Pharmaceuticals','actimis.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/7125/47125v1-max-250x250.jpg','http://www.actimis.com'
102,102,'Apieron','apieron.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8969/48969v1-max-250x250.png','http://www.apieron.com'
103,103,'Anaphore','anaphoreinc.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/7312/47312v2-max-250x250.png','http://www.anaphoreinc.com'
104,104,'Restat','restat.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0030/0566/300566v1-max-250x250.png','http://www.restat.com'
105,105,'J&J Solutions','jjsolutionsinc.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0030/1779/301779v1-max-250x250.png','http://jjsolutionsinc.com'
106,106,'Ovation Pharmaceuticals','ovationpharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0014/7546/147546v1-max-250x250.png','http://www.ovationpharma.com'
107,107,'UPC Solar',,,
108,108,'Unomedical Woundcare and Ophthalmic Business',,,
109,109,'Applied Cell Sciences','appliedcellsci.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0006/4462/64462v1-max-250x250.jpg','http://www.appliedcellsci.com'
110,110,'Guava Technologies','guavatechnologies.com',,'http://www.guavatechnologies.com'
111,111,'Biofisica','biofisica.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8136/48136v1-max-250x250.png','http://www.biofisica.com'
112,112,'Alpine Biomed','alpinebiomed.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8357/48357v1-max-250x250.png','http://www.alpinebiomed.com'
113,113,'Stellate Systems','stellate.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0007/2149/72149v1-max-250x250.png','http://www.stellate.com'
114,114,'Innovative Spinal Technologies','istspine.com',,'http://www.istspine.com'
115,115,'S*Bio','sbio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8400/48400v1-max-250x250.png','http://www.sbio.com'
116,116,'Limerick BioPharma','limerickbio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8497/48497v1-max-250x250.png','http://www.limerickbio.com'
117,117,'Avid Radiopharmaceuticals','avidrp.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8595/48595v2-max-250x250.png','http://www.avidrp.com'
118,118,'Axsys','axsys.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0014/8898/148898v1-max-250x250.png','http://www.axsys.com'
119,119,'Anadys','anadyspharma.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/8949/48949v1-max-250x250.png','http://www.anadyspharma.com'
120,120,'Semprus BioSciences','semprusbio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9007/49007v1-max-250x250.jpg','http://www.semprusbio.com'
121,121,'Sadra Medical','sadramedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9189/49189v1-max-250x250.png','http://www.sadramedical.com'
122,122,'Aragon Pharmaceuticals','aragonpharmaceuticals.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9225/49225v2-max-250x250.jpg','http://www.aragonpharmaceuticals.com'
123,123,'Biosystems International','biosys-intl.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9297/49297v1-max-250x250.jpg','http://www.biosys-intl.com'
124,124,'LigoCyte Pharmaceuticals','ligocyte.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9543/49543v1-max-250x250.png','http://www.ligocyte.com'
125,125,'Divergence','divergence.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9707/49707v1-max-250x250.png','http://www.divergence.com'
126,126,'Primaeva Medical','primaevamedical.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9840/49840v1-max-250x250.jpg','http://www.primaevamedical.com'
127,127,'Proxeon','proxeon.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9932/49932v1-max-250x250.png','http://www.proxeon.com'
128,128,'Kylin Therapeutics','kylintherapeutics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0004/9954/49954v1-max-250x250.png','http://www.kylintherapeutics.com'
129,129,'Taligen Therapeutics','taligentherapeutics.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0041/50041v2-max-250x250.jpg','http://www.taligentherapeutics.com'
130,130,'Biolex Therapeutics','biolex.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0190/50190v1-max-250x250.png','http://www.biolex.com'
131,131,'Union Spring Pharmaceuticals','unionspringspharmaceuticals.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0006/3271/63271v1-max-250x250.jpg','http://www.unionspringspharmaceuticals.com'
132,132,'Monogram Biosciences','monogrambio.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/8901/58901v1-max-250x250.png','http://www.monogrambio.com'
133,133,'PhotoThera','photothera.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0393/50393v3-max-250x250.png','http://www.photothera.com'
134,134,'Solus Biosystems','solusbiosystems.com','http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0005/0446/50446v1-max-250x250.jpg','http://www.solusbiosystems.com'
